"filename", "language", "Vento", "SCSS", "TypeScript", "JavaScript", "Markdown", "Shell Script", "Go Module File", "YAML", "comment", "blank", "total"
"c:\Users\awa\Documents\coding\awasome-website-01\source\pages\color-preview\colors.scss", "SCSS", 0, 34, 0, 0, 0, 0, 0, 0, 4, 12, 50
"c:\Users\awa\Documents\coding\awasome-website-01\source\pages\color-preview\index.html", "Vento", 19, 0, 0, 0, 0, 0, 0, 0, 1, 5, 25
"c:\Users\awa\Documents\coding\awasome-website-01\source\pages\color-preview\main.js", "JavaScript", 0, 0, 0, 2, 0, 0, 0, 0, 10, 3, 15
"c:\Users\awa\Documents\coding\awasome-website-01\source\pages\color-preview\main.scss", "SCSS", 0, 30, 0, 0, 0, 0, 0, 0, 0, 8, 38
"c:\Users\awa\Documents\coding\awasome-website-01\source\pages\imagetotext\index.html", "Vento", 70, 0, 0, 0, 0, 0, 0, 0, 59, 20, 149
"c:\Users\awa\Documents\coding\awasome-website-01\source\pages\imagetotext\main.scss", "SCSS", 0, 248, 0, 0, 0, 0, 0, 0, 135, 61, 444
"c:\Users\awa\Documents\coding\awasome-website-01\source\pages\imagetotext\main.ts", "TypeScript", 0, 0, 160, 0, 0, 0, 0, 0, 31, 62, 253
"c:\Users\awa\Documents\coding\awasome-website-01\source\pages\override.11tydata.js", "JavaScript", 0, 0, 0, 7, 0, 0, 0, 0, 45, 7, 59
"c:\Users\awa\Documents\coding\awasome-website-01\source\pages\templatepage\index.html", "Vento", 13, 0, 0, 0, 0, 0, 0, 0, 1, 6, 20
"c:\Users\awa\Documents\coding\awasome-website-01\source\pages\templatepage\main.scss", "SCSS", 0, 8, 0, 0, 0, 0, 0, 0, 10, 7, 25
"c:\Users\awa\Documents\coding\awasome-website-01\source\pages\templatepage\main.ts", "TypeScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 4
"Total", "-", 432, 1271, 3102, 6394, 42, 74, 2, 43, 4095, 2499, 17954
